Date,Open,High,Low,Close,Adj Close,Volume
1987-04-08,507.279999,507.279999,507.279999,507.279999,507.279999,0
1987-04-09,511.640015,511.640015,511.640015,511.640015,511.640015,0
1987-04-10,515.859985,515.859985,515.859985,515.859985,515.859985,0
1987-04-13,516.640015,516.640015,516.640015,516.640015,516.640015,0
1987-04-14,519.280029,519.280029,519.280029,519.280029,519.280029,0
1987-04-15,536.690002,536.690002,536.690002,536.690002,536.690002,0
1987-04-16,536.690002,536.690002,536.690002,536.690002,536.690002,0
1987-04-17,536.690002,536.690002,536.690002,536.690002,536.690002,0
1987-04-20,538.309998,538.309998,538.309998,538.309998,538.309998,0
1987-04-21,545.280029,545.280029,545.280029,545.280029,545.280029,0
1987-04-22,544.700012,544.700012,544.700012,544.700012,544.700012,0
1987-04-23,557.770020,557.770020,557.770020,557.770020,557.770020,0
1987-04-24,564.119995,564.119995,564.119995,564.119995,564.119995,0
1987-04-27,572.590027,572.590027,572.590027,572.590027,572.590027,0
1987-04-28,563.460022,563.460022,563.460022,563.460022,563.460022,0
1987-04-29,566.510010,566.510010,566.510010,566.510010,566.510010,0
1987-04-30,566.219971,566.219971,566.219971,566.219971,566.219971,0
1987-05-01,566.219971,566.219971,566.219971,566.219971,566.219971,0
1987-05-04,551.969971,551.969971,551.969971,551.969971,551.969971,0
1987-05-05,566.919983,566.919983,566.919983,566.919983,566.919983,0
1987-05-06,566.919983,566.919983,566.919983,566.919983,566.919983,0
1987-05-07,596.869995,596.869995,596.869995,596.869995,596.869995,0
1987-05-08,595.099976,595.099976,595.099976,595.099976,595.099976,0
1987-05-11,595.099976,595.099976,595.099976,595.099976,595.099976,0
1987-05-12,595.099976,595.099976,595.099976,595.099976,595.099976,0
1987-05-13,608.150024,608.150024,608.150024,608.150024,608.150024,0
1987-05-14,593.500000,593.500000,593.500000,593.500000,593.500000,0
1987-05-15,596.820007,596.820007,596.820007,596.820007,596.820007,0
1987-05-18,589.859985,589.859985,589.859985,589.859985,589.859985,0
1987-05-19,589.549988,589.549988,589.549988,589.549988,589.549988,0
1987-05-20,589.369995,589.369995,589.369995,589.369995,589.369995,0
1987-05-21,591.179993,591.179993,591.179993,591.179993,591.179993,0
1987-05-22,593.880005,593.880005,593.880005,593.880005,593.880005,0
1987-05-25,576.010010,576.010010,576.010010,576.010010,576.010010,0
1987-05-26,578.200012,578.200012,578.200012,578.200012,578.200012,0
1987-05-27,586.719971,586.719971,586.719971,586.719971,586.719971,0
1987-05-28,591.820007,591.820007,591.820007,591.820007,591.820007,0
1987-05-29,609.859985,609.859985,609.859985,609.859985,609.859985,0
1987-06-01,614.080017,614.080017,614.080017,614.080017,614.080017,0
1987-06-02,620.890015,620.890015,620.890015,620.890015,620.890015,0
1987-06-03,637.159973,637.159973,637.159973,637.159973,637.159973,0
1987-06-04,651.049988,651.049988,651.049988,651.049988,651.049988,0
1987-06-05,671.340027,671.340027,671.340027,671.340027,671.340027,0
1987-06-08,670.270020,670.270020,670.270020,670.270020,670.270020,0
1987-06-09,678.549988,678.549988,678.549988,678.549988,678.549988,0
1987-06-10,688.520020,688.520020,688.520020,688.520020,688.520020,0
1987-06-11,696.909973,696.909973,696.909973,696.909973,696.909973,0
1987-06-12,696.909973,696.909973,696.909973,696.909973,696.909973,0
1987-06-15,715.359985,715.359985,715.359985,715.359985,715.359985,0
1987-06-16,738.510010,738.510010,738.510010,738.510010,738.510010,0
1987-06-17,772.950012,772.950012,772.950012,772.950012,772.950012,0
1987-06-18,774.429993,774.429993,774.429993,774.429993,774.429993,0
1987-06-19,778.219971,778.219971,778.219971,778.219971,778.219971,0
1987-06-22,784.799988,784.799988,784.799988,784.799988,784.799988,0
1987-06-23,798.710022,798.710022,798.710022,798.710022,798.710022,0
1987-06-24,841.080017,841.080017,841.080017,841.080017,841.080017,0
1987-06-25,834.570007,834.570007,834.570007,834.570007,834.570007,0
1987-06-26,878.109985,878.109985,878.109985,878.109985,878.109985,0
1987-06-29,944.830017,944.830017,944.830017,944.830017,944.830017,0
1987-06-30,918.409973,918.409973,918.409973,918.409973,918.409973,0
1987-07-01,963.559998,963.559998,963.559998,963.559998,963.559998,0
1987-07-02,1022.359985,1022.359985,1022.359985,1022.359985,1022.359985,0
1987-07-03,1016.039978,1016.039978,1016.039978,1016.039978,1016.039978,0
1987-07-06,964.030029,964.030029,964.030029,964.030029,964.030029,0
1987-07-07,998.859985,998.859985,998.859985,998.859985,998.859985,0
1987-07-08,1035.979980,1035.979980,1035.979980,1035.979980,1035.979980,0
1987-07-09,1047.969971,1047.969971,1047.969971,1047.969971,1047.969971,0
1987-07-10,1050.739990,1050.739990,1050.739990,1050.739990,1050.739990,0
1987-07-13,1106.229980,1106.229980,1106.229980,1106.229980,1106.229980,0
1987-07-14,1122.949951,1122.949951,1122.949951,1122.949951,1122.949951,0
1987-07-15,1114.709961,1114.709961,1114.709961,1114.709961,1114.709961,0
1987-07-16,1180.650024,1180.650024,1180.650024,1180.650024,1180.650024,0
1987-07-17,1236.150024,1236.150024,1236.150024,1236.150024,1236.150024,0
1987-07-20,1335.540039,1335.540039,1335.540039,1335.540039,1335.540039,0
1987-07-21,1333.640015,1333.640015,1333.640015,1333.640015,1333.640015,0
1987-07-22,1315.069946,1315.069946,1315.069946,1315.069946,1315.069946,0
1987-07-23,1234.589966,1234.589966,1234.589966,1234.589966,1234.589966,0
1987-07-24,1071.800049,1071.800049,1071.800049,1071.800049,1071.800049,0
1987-07-27,985.609985,985.609985,985.609985,985.609985,985.609985,0
1987-07-28,1146.290039,1146.290039,1146.290039,1146.290039,1146.290039,0
1987-07-29,1143.670044,1143.670044,1143.670044,1143.670044,1143.670044,0
1987-07-30,1134.689941,1134.689941,1134.689941,1134.689941,1134.689941,0
1987-07-31,1055.219971,1055.219971,1055.219971,1055.219971,1055.219971,0
1987-08-03,1195.849976,1195.849976,1195.849976,1195.849976,1195.849976,0
1987-08-04,1213.939941,1213.939941,1213.939941,1213.939941,1213.939941,0
1987-08-05,1240.250000,1240.250000,1240.250000,1240.250000,1240.250000,0
1987-08-06,1258.489990,1258.489990,1258.489990,1258.489990,1258.489990,0
1987-08-07,1258.489990,1258.489990,1258.489990,1258.489990,1258.489990,0
1987-08-10,1235.780029,1235.780029,1235.780029,1235.780029,1235.780029,0
1987-08-11,1214.839966,1214.839966,1214.839966,1214.839966,1214.839966,0
1987-08-12,1145.339966,1145.339966,1145.339966,1145.339966,1145.339966,0
1987-08-13,1145.339966,1145.339966,1145.339966,1145.339966,1145.339966,0
1987-08-14,1173.709961,1173.709961,1173.709961,1173.709961,1173.709961,0
1987-08-17,1113.630005,1113.630005,1113.630005,1113.630005,1113.630005,0
1987-08-18,1043.410034,1043.410034,1043.410034,1043.410034,1043.410034,0
1987-08-19,1050.319946,1050.319946,1050.319946,1050.319946,1050.319946,0
1987-08-20,1086.349976,1086.349976,1086.349976,1086.349976,1086.349976,0
1987-08-21,1086.349976,1086.349976,1086.349976,1086.349976,1086.349976,0
1987-08-24,1017.159973,1017.159973,1017.159973,1017.159973,1017.159973,0
1987-08-25,981.400024,981.400024,981.400024,981.400024,981.400024,0
1987-08-26,1049.209961,1049.209961,1049.209961,1049.209961,1049.209961,0
1987-08-27,1099.689941,1099.689941,1099.689941,1099.689941,1099.689941,0
1987-08-28,1099.689941,1099.689941,1099.689941,1099.689941,1099.689941,0
1987-08-31,1099.689941,1099.689941,1099.689941,1099.689941,1099.689941,0
1987-09-01,1015.159973,1015.159973,1015.159973,1015.159973,1015.159973,0
1987-09-02,1047.189941,1047.189941,1047.189941,1047.189941,1047.189941,0
1987-09-03,1023.179993,1023.179993,1023.179993,1023.179993,1023.179993,0
1987-09-04,992.299988,992.299988,992.299988,992.299988,992.299988,0
1987-09-07,884.510010,884.510010,884.510010,884.510010,884.510010,0
1987-09-08,921.479980,921.479980,921.479980,921.479980,921.479980,0
1987-09-09,909.969971,909.969971,909.969971,909.969971,909.969971,0
1987-09-10,913.049988,913.049988,913.049988,913.049988,913.049988,0
1987-09-11,910.239990,910.239990,910.239990,910.239990,910.239990,0
1987-09-14,878.169983,878.169983,878.169983,878.169983,878.169983,0
1987-09-15,830.219971,830.219971,830.219971,830.219971,830.219971,0
1987-09-16,784.239990,784.239990,784.239990,784.239990,784.239990,0
1987-09-17,705.669983,705.669983,705.669983,705.669983,705.669983,0
1987-09-18,818.989990,818.989990,818.989990,818.989990,818.989990,0
1987-09-21,816.549988,816.549988,816.549988,816.549988,816.549988,0
1987-09-22,826.549988,826.549988,826.549988,826.549988,826.549988,0
1987-09-23,795.080017,795.080017,795.080017,795.080017,795.080017,0
1987-09-24,755.340027,755.340027,755.340027,755.340027,755.340027,0
1987-09-25,722.479980,722.479980,722.479980,722.479980,722.479980,0
1987-09-28,705.710022,705.710022,705.710022,705.710022,705.710022,0
1987-09-29,734.679993,734.679993,734.679993,734.679993,734.679993,0
1987-09-30,753.140015,753.140015,753.140015,753.140015,753.140015,0
1987-10-01,821.599976,821.599976,821.599976,821.599976,821.599976,0
1987-10-02,847.820007,847.820007,847.820007,847.820007,847.820007,0
1987-10-05,825.619995,825.619995,825.619995,825.619995,825.619995,0
1987-10-06,801.270020,801.270020,801.270020,801.270020,801.270020,0
1987-10-07,814.770020,814.770020,814.770020,814.770020,814.770020,0
1987-10-08,756.750000,756.750000,756.750000,756.750000,756.750000,0
1987-10-09,762.219971,762.219971,762.219971,762.219971,762.219971,0
1987-10-12,789.940002,789.940002,789.940002,789.940002,789.940002,0
1987-10-13,813.580017,813.580017,813.580017,813.580017,813.580017,0
1987-10-14,846.270020,846.270020,846.270020,846.270020,846.270020,0
1987-10-15,851.859985,851.859985,851.859985,851.859985,851.859985,0
1987-10-16,851.510010,851.510010,851.510010,851.510010,851.510010,0
1987-10-19,906.729980,906.729980,906.729980,906.729980,906.729980,0
1987-10-20,799.099976,799.099976,799.099976,799.099976,799.099976,0
1987-10-21,861.760010,861.760010,861.760010,861.760010,861.760010,0
